53,"t","Agricultural Chemical Usage 2007 Restricted Use Summary: Released May 21, 2008, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
53,"t","Pesticide Class, Common Names, and Trade Names"
53,"t","Restricted Use Pesticides, 2007"
53,"h","","",""
53,"h","Class","Common Names","Trade Names"
53,"h","","",""
53,"d","I","Abamectin","Abba Agri-Mek 0.15EC Epi-mek 0.15 EC Paraspray 8-E"
53,"d","",,"Zephyr 0.15 EC"
53,"d","H","Acetochlor","Degree"
53,"d","H","Alachlor","Bronco (4EC) Intrro (4E)"
53,"d","I","Aldicarb","Temik 15G Temik TSX"
53,"d","H","Atrazine","Atrazine 4L Extrazine II 4L"
53,"d","I","Azinphos-methyl","Azinphos-M 2 EC Azinphos-M 50 WP Azinphosmethyl 50W"
53,"d","",,"Guthion 2L Guthion 35% WP Guthion Solupak 50%"
53,"d","I","Beta-cyfluthrin","Baythroid XL"
53,"d","I","Bifenthrin","Bifenture EC Brigade 2EC Brigade WSB 10WP Capture 2EC"
53,"d","",,"Discipline 2EC Fanfare 2EC Sniper Tundra EC"
53,"d","I","Carbofuran","Furadan 4F"
53,"d","I","Chlorpyrifos","Chlorpyrifos 4E AG Govern 4E Lock-On Lorsban 4E"
53,"d","",,"Nufos 4E Pilot 4E-SG Warhawk Whirlwind Yuma 4E"
53,"d","H","Cyanazine","Bladex 90DF Cy-Pro 4L Extrazine II 4L"
53,"d","I","Cyfluthrin","Baythroid 2 (EC) Leverage 2.7 Tombstone"
53,"d","I","Cypermethrin","Ammo 2.5 EC Battery 2.5 EC Cyper AG Holster"
53,"d","",,"Tenkoz Cypermethrin Up-Cyde 2.5 EC"
53,"d","I","Deltamethrin","Battalion 0.2EC Decis 1.5EC"
53,"d","I","Diazinon","D-z-n Diazinon 50W Diazinon 4E Diazinon 50W KnoxOut NL"
53,"d","O","Dichloropropene","Telone II"
53,"d","I","Dicrotophos","Bidrin 8"
53,"d","I","Diflubenzuron","Dimilin 2F"
53,"d","I","Emamectin benzoate","Denim Proclaim"
53,"d","I","Esfenvalerate","Asana Asana XL"
53,"d","I","Ethion","Ethion 8 EC"
53,"d","I","Ethyl parathion","Parathion 4L"
53,"d","F","Etridiazole","Temik TSX Terraclor Super X 18.8G"
53,"d","I","Fenbutatin-oxide","Vendex 50WP"
53,"d","H","Fenoxaprop-p-ethyl","Silverado"
53,"d","I","Flucythrinate","AAStar"
53,"d","I","Gamma-cyhalothrin","Proaxis"
53,"d","H","Glyphosate iso. salt","Bronco (4EC)"
53,"d","I","Imidacloprid","Leverage 2.7"
53,"d","I","Lambda-cyhalothrin","Karate (1EC) Karate Z Silencer Taiga Z Warrior"
53,"d","I","Lindane","Lindane 20%EC"
53,"d","I","Methamidophos","Monitor 4 Spray (For Cotton & Potatoes)"
53,"d","I","Methidathion","Supracide 2E"
53,"d","I","Methomyl","Lannate L (1.8 lbs.) Lannate LV (2.4 lbs.) Lannate SP"
53,"d","I","Methyl parathion","Methyl Parathion 4EC Methyl Parathion 6EC"
53,"d","I","Oxamyl","Vydate C-LV Vydate L"
53,"d","F","PCNB","Temik TSX Terraclor Super X 18.8G"
53,"d","H","Paraquat","Cyclone Firestorm Gramoxone Extra Gramoxone Inteon"
53,"d","",,"Gramoxone Max Gramoxone Super Ortho Paraquat CL"
53,"d","",,"Parazone 3SL Starfire (1.5L)"
53,"d","I","Permethrin","Ambush Ambush 25W Perm-UP 3.2 EC Permethrin 3.2 AG"
53,"d","",,"Pounce 25WP Pounce 3.2EC"
53,"d","I","Phorate","AAStar Thimet 15-G Thimet 20-G"
53,"d","H","Picloram K salt","Tordon 22K (2EC)"
53,"c",""
53,"c","--continued"
